Host Team,Away Team,Winner,Margin,Ground,Match Date
South Africa,England,South Africa,19 runs,Johannesburg,"Jan 1-5, 1910"
South Africa,England,South Africa,95 runs,Durban,"Jan 21-26, 1910"
South Africa,England,England,3 wickets,Johannesburg,"Feb 26-Mar 3, 1910"
South Africa,England,South Africa,4 wickets,Cape Town,"Mar 7-9, 1910"
South Africa,England,England,9 wickets,Cape Town,"Mar 11-14, 1910"
Australia,South Africa,Australia,inns & 114 runs,Sydney,"Dec 9-14, 1910"
Australia,South Africa,Australia,89 runs,Melbourne,"Dec 31, 1910 - Jan 4, 1911"
