Host Team,Away Team,Winner,Margin,Ground,Match Date
Australia,England,Australia,inns & 13 runs,Sydney,"Jan 5-9, 1951"
Australia,England,Australia,274 runs,Adelaide,"Feb 2-8, 1951"
Australia,England,England,8 wickets,Melbourne,"Feb 23-28, 1951"
New Zealand,England,drawn,,Christchurch,"Mar 17-21, 1951"
New Zealand,England,England,6 wickets,Wellington,"Mar 24-28, 1951"
England,South Africa,South Africa,71 runs,Nottingham,"Jun 7-12, 1951"
England,South Africa,England,10 wickets,Lord's,"Jun 21-23, 1951"
England,South Africa,England,9 wickets,Manchester,"Jul 5-10, 1951"
England,South Africa,drawn,,Leeds,"Jul 26-31, 1951"
England,South Africa,England,4 wickets,The Oval,"Aug 16-18, 1951"
India,England,drawn,,Delhi,"Nov 2-7, 1951"
Australia,West Indies,Australia,3 wickets,Brisbane,"Nov 9-13, 1951"
Australia,West Indies,Australia,7 wickets,Sydney,"Nov 30-Dec 5, 1951"
India,England,drawn,,Mumbai (BS),"Dec 14-19, 1951"
Australia,West Indies,West Indies,6 wickets,Adelaide,"Dec 22-25, 1951"
India,England,drawn,,Kolkata,"Dec 30, 1951 - Jan 4, 1952"
Australia,West Indies,Australia,1 wicket,Melbourne,"Dec 31, 1951 - Jan 3, 1952"
