Host Team,Away Team,Winner,Margin,Ground,Match Date
Australia,England,England,3 wickets,Melbourne,"Dec 29, 1928 - Jan 5, 1929"
Australia,England,England,12 runs,Adelaide,"Feb 1-8, 1929"
Australia,England,Australia,5 wickets,Melbourne,"Mar 8-16, 1929"
England,South Africa,drawn,,Birmingham,"Jun 15-18, 1929"
England,South Africa,drawn,,Lord's,"Jun 29-Jul 2, 1929"
England,South Africa,England,5 wickets,Leeds,"Jul 13-16, 1929"
England,South Africa,England,inns & 32 runs,Manchester,"Jul 27-30, 1929"
England,South Africa,drawn,,The Oval,"Aug 17-20, 1929"
