Host Team,Away Team,Winner,Margin,Ground,Match Date
Australia,England,Australia,229 runs,Melbourne,"Jan 1-4, 1902"
Australia,England,Australia,4 wickets,Adelaide,"Jan 17-23, 1902"
Australia,England,Australia,7 wickets,Sydney,"Feb 14-18, 1902"
Australia,England,Australia,32 runs,Melbourne,"Feb 28-Mar 4, 1902"
England,Australia,drawn,,Birmingham,"May 29-31, 1902"
England,Australia,drawn,,Lord's,"Jun 12-14, 1902"
England,Australia,Australia,143 runs,Sheffield,"Jul 3-5, 1902"
England,Australia,Australia,3 runs,Manchester,"Jul 24-26, 1902"
England,Australia,England,1 wicket,The Oval,"Aug 11-13, 1902"
South Africa,Australia,drawn,,Johannesburg,"Oct 11-14, 1902"
South Africa,Australia,Australia,159 runs,Johannesburg,"Oct 18-21, 1902"
South Africa,Australia,Australia,10 wickets,Cape Town,"Nov 8-11, 1902"
