Host Team,Away Team,Winner,Margin,Ground,Match Date
Australia,South Africa,Australia,169 runs,Melbourne,"Dec 31, 1931 - Jan 6, 1932"
Australia,South Africa,Australia,10 wickets,Adelaide,"Jan 29-Feb 2, 1932"
Australia,South Africa,Australia,inns & 72 runs,Melbourne,"Feb 12-15, 1932"
New Zealand,South Africa,South Africa,inns & 12 runs,Christchurch,"Feb 27-Mar 1, 1932"
New Zealand,South Africa,South Africa,8 wickets,Wellington,"Mar 4-7, 1932"
England,India,England,158 runs,Lord's,"Jun 25-28, 1932"
Australia,England,England,10 wickets,Sydney,"Dec 2-7, 1932"
Australia,England,Australia,111 runs,Melbourne,"Dec 30, 1932 - Jan 3, 1933"
