Host Team,Away Team,Winner,Margin,Ground,Match Date
South Africa,England,England,312 runs,Cape Town,"Jan 1-5, 1957"
South Africa,England,drawn,,Durban,"Jan 25-30, 1957"
South Africa,England,South Africa,17 runs,Johannesburg,"Feb 15-20, 1957"
South Africa,England,South Africa,58 runs,Port Elizabeth,"Mar 1-5, 1957"
England,West Indies,drawn,,Birmingham,"May 30-Jun 4, 1957"
England,West Indies,England,inns & 36 runs,Lord's,"Jun 20-22, 1957"
England,West Indies,drawn,,Nottingham,"Jul 4-9, 1957"
England,West Indies,England,inns & 5 runs,Leeds,"Jul 25-27, 1957"
England,West Indies,England,inns & 237 runs,The Oval,"Aug 22-24, 1957"
South Africa,Australia,drawn,,Johannesburg,"Dec 23-28, 1957"
