Host Team,Away Team,Winner,Margin,Ground,Match Date
Australia,England,England,8 wickets,Melbourne,"Dec 30, 1911 - Jan 3, 1912"
Australia,England,England,7 wickets,Adelaide,"Jan 12-17, 1912"
Australia,England,England,inns & 225 runs,Melbourne,"Feb 9-13, 1912"
Australia,England,England,70 runs,Sydney,"Feb 23-Mar 1, 1912"
Australia,South Africa,Australia,inns & 88 runs,Manchester,"May 27-28, 1912"
England,South Africa,England,inns & 62 runs,Lord's,"Jun 10-12, 1912"
England,Australia,drawn,,Lord's,"Jun 24-26, 1912"
England,South Africa,England,174 runs,Leeds,"Jul 8-10, 1912"
Australia,South Africa,Australia,10 wickets,Lord's,"Jul 15-17, 1912"
England,Australia,drawn,,Manchester,"Jul 29-31, 1912"
Australia,South Africa,drawn,,Nottingham,"Aug 5-7, 1912"
England,South Africa,England,10 wickets,The Oval,"Aug 12-13, 1912"
England,Australia,England,244 runs,The Oval,"Aug 19-22, 1912"
